"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\producerPanelScreen\producerMainPanel\producerPanelScreen.css", "CSS", 0, 33, 3, 2, 38
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\producerPanelScreen\producerMainPanel\producerPanelScreen.jsx", "JavaScript", 192, 0, 0, 13, 205
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\producerPanelScreen\productUpdateScreen\optionComponent\optionComponent.css", "CSS", 0, 80, 0, 3, 83
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\producerPanelScreen\productUpdateScreen\optionComponent\optionComponent.jsx", "JavaScript", 74, 0, 18, 8, 100
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\producerPanelScreen\productUpdateScreen\personalizationComponent\personalizationComponent.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\producerPanelScreen\productUpdateScreen\personalizationComponent\personalizationComponent.jsx", "JavaScript", 39, 0, 0, 5, 44
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\producerPanelScreen\productUpdateScreen\producerPanelProductUpdate.jsx", "JavaScript", 483, 0, 6, 33, 522
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\producerPanelScreen\productUpdateScreen\producerPanelproductScreen.jsx", "JavaScript", 59, 0, 0, 7, 66
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\panelsScreens\producerPanelScreen\productUpdateScreen\productUpdateScreen.css", "CSS", 0, 82, 0, 9, 91
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\productScreen\productScreen.css", "CSS", 0, 31, 0, 2, 33
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\productScreen\productScreen.jsx", "JavaScript", 270, 0, 14, 19, 303
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\profilesScreen\comandsScreen\commandsScreen.css", "CSS", 0, 43, 3, 5, 51
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\profilesScreen\comandsScreen\commandsScreen.jsx", "JavaScript", 159, 0, 0, 14, 173
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\profilesScreen\producteurShopScreen\ProducerShopScreen.css", "CSS", 0, 29, 0, 1, 30
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\profilesScreen\producteurShopScreen\ProducerShopScreen.jsx", "JavaScript", 75, 0, 0, 4, 79
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\profilesScreen\profilScreen\profilScreen.jsx", "JavaScript", 211, 0, 1, 14, 226
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\profilesScreen\profilScreen\profilescreen.css", "CSS", 0, 0, 0, 1, 1
"Total", "-", 3970, 1147, 65, 453, 5635
